ntaName,diff_days
SoHo-TriBeCa-Civic Center-Little Italy,71.8257326388889
Van Nest-Morris Park-Westchester Square,73.05900752314815
Seagate-Coney Island,73.18815200617284
Homecrest,77.80053819444444
Ocean Parkway South,78.31042052469135
Manhattanville,78.49319444444444
Middle Village,79.78591765873016
Midtown-Midtown South,81.42890625
East Village,83.45811728395061
Washington Heights South,85.86347222222223
Briarwood-Jamaica Hills,85.87171296296297
East Harlem South,87.89194155092594
Lenox Hill-Roosevelt Island,89.42742541152263
Central Harlem North-Polo Grounds,92.06116898148149
Forest Hills,92.59572685185185
Glen Oaks-Floral Park-New Hyde Park,101.00340972222223
Turtle Bay-East Midtown,101.60804976851853
Pelham Bay-Country Club-City Island,104.46984246399177
Glendale,124.82819444444445
Bellerose,136.34808606902357
Hamilton Heights,158.11920717592594
